title,year,rating,actors,director,vulgarities,sentiment,subjectivity,asshole,bastard,bitch,cunt,dick,faggot,fuck,nigger,shit,slut
Rebecca,1940-01-01,100,"Laurence Olivier, Joan Fontaine, Judith Anderson, George Sanders",Alfred Hitchcock,0,0.07966182378125701,0.5537465357404621,0,0,0,0,0,0,0,0,0,0
How Green Was My Valley,1941-01-01,91,"Walter Pidgeon, Maureen O'Hara, Donald Crisp, Roddy McDowall",John Ford,0,0.11934650740206301,0.515001507898333,0,0,0,0,0,0,0,0,0,0
Mrs. Miniver,1942-01-01,93,"Greer Garson, Walter Pidgeon, Teresa Wright, Richard Ney",William Wyler,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Casablanca,1942-01-01,98,"Humphrey Bogart, Ingrid Bergman, Claude Rains, Paul Henreid",Michael Curtiz,0,0.10742465977585001,0.518178126620586,0,0,0,0,0,0,0,0,0,0
Going My Way,1944-01-01,83,"Bing Crosby, Barry Fitzgerald, Rise Stevens, Jean Heather",Leo McCarey,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
The Lost Weekend,1945-01-01,100,"Ray Milland, Jane Wyman, Howard Da Silva, Philip Terry",Billy Wilder,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
The Best Years of Our Lives,1946-01-01,96,"Fredric March, Dana Andrews, Harold Russell, Myrna Loy",William Wyler,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Gentleman's Agreement,1947-01-01,74,"Gregory Peck, Dorothy McGuire, John Garfield, Celeste Holm",Elia Kazan,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Hamlet,1948-01-01,95,"Laurence Olivier, Jean Simmons, Eileen Herlie, Basil Sydney",Laurence Olivier,0,0.144269666461871,0.5559326926886711,0,0,0,0,0,0,0,0,0,0
All the King's Men,1949-01-01,95,"Broderick Crawford, Mercedes McCambridge, John Derek, Joanne Dru",Robert Rossen,7,0.10515181846577101,0.49189256529596403,0,3,2,0,0,0,0,1,0,1
All About Eve,1950-01-01,99,"Bette Davis, Anne Baxter, Gary Merrill, George Sanders",Joseph L. Mankiewicz,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
An American in Paris,1951-01-01,96,"Gene Kelly, Leslie Caron, Maurice Chevalier, Oscar Levant",Vincente Minnelli,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
The Greatest Show on Earth,1952-01-01,43,"Betty Hutton, Cornel Wilde, Charlton Heston, James Stewart",Cecil B. DeMille,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
